dataset,variant,accuracy,ece
aircraft,none,24.21,15.56
dtd,none,47.04,17.41
eurosat,none,53.22,14.43
flower102,none,69.79,6.51
pets,none,88.74,2.48
aircraft,margin,18.96,32.64
dtd,margin,44.86,20.11
eurosat,margin,48.91,26.38
flower102,margin,67.19,8.63
pets,margin,88.42,2.53
aircraft,fusion,24.42,9.16
dtd,fusion,45.8,17.69
eurosat,fusion,50.12,19.62
flower102,fusion,68.9,32.46
pets,fusion,88.77,43.78
aircraft,temp,24.21,4.21
dtd,temp,47.04,4.68
eurosat,temp,53.22,13.43
flower102,temp,69.79,4.85
pets,temp,88.74,15.54
aircraft,margin_fusion,23.97,8.65
dtd,margin_fusion,45.63,17.42
eurosat,margin_fusion,48.88,17.51
flower102,margin_fusion,68.86,32.37
pets,margin_fusion,88.74,43.77
aircraft,margin_temp,18.96,32.52
dtd,margin_temp,44.86,17.3
eurosat,margin_temp,48.91,25.98
flower102,margin_temp,67.19,6.38
pets,margin_temp,88.42,14.79
aircraft,fusion_temp,24.42,9.2
dtd,fusion_temp,45.8,18.13
eurosat,fusion_temp,50.12,19.63
flower102,fusion_temp,68.9,32.94
pets,fusion_temp,88.77,44.0
aircraft,all,23.97,8.65
dtd,all,45.63,17.72
eurosat,all,48.88,17.53
flower102,all,68.86,32.73
pets,all,88.74,43.98
